Infos
"['https://divar.ir/v/-/wYZ4tLoq', ['پیکان وانت بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۱۲ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۷۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4dAvF', ['پراید 141 ساده'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۷۲٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4tFJl', ['پراید صندوق\u200cدار بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'سالم و پلمپ', 'شاسی عقب', 'رنگ\u200cشده', 'وضعیت بدنه', 'دوررنگ', 'قیمت', '۵۷٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4dFUP', ['سمند SE'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۹ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۹۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ0d-NB', ['پیکان وانت'], ['برند و تیپ', 'وضعیت موتور', 'تعویض شده', 'وضعیت شاسی\u200cها', 'ضربه\u200cخورده', 'وضعیت بدنه', 'اوراقی', 'قیمت', '۱۲٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZstlfo', ['پژو RDI بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۲ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۴۹٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/gY67gibB', ['پژو 206 تیپ ۲'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'تمام\u200cرنگ', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۱۹٬۵۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ091h-', ['سمند X7 بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'تعویض شده', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۲۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ095ry', ['سمند سورن معمولی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'تمام\u200cرنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۱۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ095y0', ['دوو سی یلو سدان'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۰۰٬۰۰۰٬۰۰۰ تومان']]"
