Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price
۷۲٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,1382,قرمز,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,دنده‌ای,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۹٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,اتوماتیک,نقدی
۳۲۶٬۰۰۰,1392,سفید,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای
۱۱۶٬۰۰۰,2013,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۹٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,۲۷۵٬۰۰۰٬۰۰۰ تومان
۷۵٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۳۵٬۰۰۰,1398,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,2010,سفید,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۸ ماه,اتوماتیک,نقدی
۶۶٬۰۰۰,2014,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۷۵٬۰۰۰,2016,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,اتوماتیک,نقدی
۵۹٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۱۴۴٬۰۰۰,1392,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۲۰٬۰۰۰,1398,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۱۱۸٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,دنده‌ای,نقدی
۱۱۰٬۰۰۰,1380,سبز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۹٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۷۵٬۰۰۰,1393,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای
۲۷۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,رنگ‌شده,دوررنگ,۲ ماه,دنده‌ای
۵۵٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۵٬۰۰۰,2018,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۱۶۳٬۰۰۰,1395,سفید,سالم,رنگ‌شدگی,۹ ماه,اتوماتیک,نقدی,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱۷٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۶۷٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۸۵٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۳۴۰٬۰۰۰,1389,سفید,سالم,ضربه‌خورده,رنگ‌شدگی,۳ ماه,دنده‌ای,نقدی
۱۸٬۶۰۰,1394,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,اتوماتیک,نقدی
۲۹٬۰۰۰,1398,آبی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۱۶۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی
۸۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۳۲۰٬۰۰۰,1384,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۷۲٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۲۴۵٬۰۰۰,1393,نوک‌مدادی,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای
۴۸٬۰۰۰,2017,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۵۵٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی و قسطی
۱۲۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,اتوماتیک,نقدی
۳۴۰٬۰۰۰,1382,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,اتوماتیک,نقدی
۲۰۰٬۰۰۰,2015,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۷۰٬۰۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۱۹۰٬۰۰۰,2010,بادمجانی,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,اتوماتیک,نقدی
۶٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,دنده‌ای,نقدی,۱۸۶٬۰۰۰٬۰۰۰ تومان
۲۵۰٬۰۰۰,1388,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۱۴٬۰۰۰,1398,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی
۸۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱٬۳۵۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,برای معاوضه
۱۶۷٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1385,نقره‌ای,سالم,سالم و پلمپ,تمام‌رنگ,۷ ماه,دنده‌ای,نقدی
۴۴٬۰۰۰,1396,خاکستری,سالم,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,نقدی,۲۴۳٬۰۰۰٬۰۰۰ تومان
۲٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۴٬۰۰۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۱۱٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1387,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی
۲۱۱٬۰۰۰,2012,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,۵۰۰٬۰۰۰٬۰۰۰ تومان
۱۰۸٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی
۱۳۵٬۰۰۰,2015,زرد,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی
۵۰۰٬۰۰۰,1384,مشکی,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۲ ماه,دنده‌ای
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۱۸۰٬۰۰۰,1385,خاکستری,سالم,صافکاری بی‌رنگ,۱۲ ماه,دنده‌ای,نقدی,۱۲۸٬۰۰۰٬۰۰۰ تومان
۹۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی
۴۵٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱۵۸٬۰۰۰,1387,خاکستری,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای
۲۵۰٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۱۵۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی
۱۶۶٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۱۰ ماه,اتوماتیک,نقدی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۹۹٬۰۰۰,1394,بادمجانی,سالم,ضربه‌خورده,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی
۲۵۰٬۰۰۰,1388,سفید,سالم,ضربه‌خورده,رنگ‌شده,دوررنگ,۱۲ ماه,دنده‌ای
۱۸۰٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۵۲٬۰۰۰,1390,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۱۵۰٬۰۰۰,1989,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۱۸۰٬۰۰۰,1390,دلفینی,سالم,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,۱۴۹٬۰۰۰٬۰۰۰ تومان
۸۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۳٬۰۰۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی و قسطی
۲۷٬۸۱۵,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۵۰٬۰۰۰,2016,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی
۶۲٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1381,سرمه‌ای,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۴ ماه,دنده‌ای
۱۰۰٬۰۰۰,1395,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,نقدی
۱۱۶٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی
۰,1398,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۹۰٬۰۰۰,1389,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای,نقدی
۱۲۵٬۰۰۰,1396,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1378,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۲۳٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1387,نقره‌ای,سالم,ضربه‌خورده,دوررنگ,۵ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۶۶٬۱۸۴,1380,یشمی,سالم,سالم و پلمپ,تصادفی,دنده‌ای,نقدی,۴۵٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,1392,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,دنده‌ای,نقدی
۷٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۱۶۰٬۰۰۰,1389,نقره‌ای,سالم,سالم و پلمپ,دوررنگ,۱۲ ماه,دنده‌ای,نقدی
۲۱۰٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۵۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۰ ماه,دنده‌ای,نقدی
۹٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۶۴٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,اتوماتیک,نقدی,۶۹۰٬۰۰۰٬۰۰۰ تومان
۷۵٬۰۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۳۳۰٬۰۰۰,1393,زرد,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۳۸٬۰۰۰,1399,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۲۲۰٬۰۰۰,1383,نوک‌مدادی,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای
۹۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۱۱۴٬۵۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۱۸۰٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۳۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۸٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۲۴۰٬۰۰۰,1394,سفید,سالم,رنگ‌شده,سالم و پلمپ,دوررنگ,۴ ماه,دنده‌ای
۹۶٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,اتوماتیک,نقدی
۶۹٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,اتوماتیک,نقدی,توافقی
۹۷٬۰۰۰,1389,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1384,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای,نقدی
۱۱۸٬۰۱۹,1395,سفید,سالم,ضربه‌خورده,صافکاری بی‌رنگ,۹ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1384,خاکستری,سالم,سالم و پلمپ,دوررنگ,دنده‌ای,نقدی,۱۳۸٬۰۰۰٬۰۰۰ تومان
۲۴٬۰۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۷۹٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۸۰٬۰۰۰,1380,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,دنده‌ای,نقدی
۱۲۰٬۰۰۰,1390,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,اتوماتیک,نقدی
۸۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۴۸۰٬۰۰۰,2016,زرد,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۱۹٬۰۰۰,1396,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۲ ماه,اتوماتیک,نقدی
۱۴۸٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی
۱۱۳٬۰۰۰,2017,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی
۳۱۲٬۰۰۰,1384,سفید,سالم,سالم و پلمپ,دوررنگ,۱۱ ماه,دنده‌ای,نقدی
۲٬۵۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,2009,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۳۴۰٬۰۰۰,1384,نوک‌مدادی,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۵ ماه,دنده‌ای
۶۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
۲۴۰٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۱۰۶٬۰۰۰,1389,سفید,سالم,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی,۱۵۷٬۰۰۰٬۰۰۰ تومان
۸۵٬۰۰۰,1398,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,نقدی,۱۴۵٬۰۰۰٬۰۰۰ تومان
۲۴۵٬۰۰۰,1380,بژ,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1386,نقره‌ای,سالم,رنگ‌شدگی,۵ ماه,اتوماتیک,نقدی و قسطی,۱۶۵٬۰۰۰٬۰۰۰ تومان
۱۶٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۸۰٬۰۰۰,2011,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۱۳٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۹۳٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,اتوماتیک,نقدی
۲۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۶۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۵ ماه,اتوماتیک,نقدی
۵۴٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۳۷٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,توافقی
۳۲٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۱٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۷۴٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1383,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۱۳۵٬۰۰۰,1395,نقرآبی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۵ ماه,دنده‌ای,نقدی
۲۸۴٬۰۰۰,1387,نقره‌ای,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای
۱۰۰٬۰۰۰,1378,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۱۳٬۵۰۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی
۹۹٬۰۰۰,1392,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۷۶٬۰۰۰,1391,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۲۳۸٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۳۸۰٬۰۰۰,1383,سفید,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۴ ماه,دنده‌ای
۱۲۶٬۰۰۰,1397,سفید,نیاز به تعمیر,ضربه‌خورده,سالم و پلمپ,تصادفی,۷ ماه,دنده‌ای
۲۸۰٬۰۰۰,1388,سفید,نیاز به تعمیر,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,نقدی
۶۴٬۰۰۰,1397,نوک‌مدادی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۳۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۲۱۸٬۷۶۸,1390,آلبالویی,سالم,سالم و پلمپ,دوررنگ,۱۰ ماه,دنده‌ای,نقدی
۲۴٬۰۰۰,1397,زرد,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۶٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۹٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۳۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۱۲۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱٬۹۸۰,1401,سفید,سالم,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی,۴۰۰٬۰۰۰٬۰۰۰ تومان
۲۳۲٬۰۰۰,1394,نقرآبی,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی
۱۳۴٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
۴۰۰٬۰۰۰,1998,سبز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۴۹٬۰۰۰,2015,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی
۳۰٬۰۰۰,1398,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۸۰٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,اتوماتیک,نقدی
۳۲٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۱۲۰٬۰۰۰,1397,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای
۱۲۷٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۲۴۰٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۲ ماه,دنده‌ای,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۶۴٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1389,مشکی,سالم,سالم و پلمپ,دوررنگ,۹ ماه,اتوماتیک,نقدی
۴۹٬۰۰۰,2016,قرمز,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۷ ماه,اتوماتیک,نقدی
۱۳۵٬۰۰۰,2012,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۲۸۵٬۰۰۰,1386,نوک‌مدادی,سالم,سالم و پلمپ,رنگ‌شدگی,۳ ماه,دنده‌ای,نقدی
۹۶٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
۱۰۶٬۰۰۰,1391,نقره‌ای,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,نقدی
۴۱٬۶۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۳۵۰٬۰۰۰,1388,قهوه‌ای,سالم,سالم و پلمپ,دوررنگ,۹ ماه,دنده‌ای,نقدی
۱۵۰٬۰۰۰,2009,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۱۳۷٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۶ ماه,دنده‌ای,نقدی
۱۹۰٬۰۰۰,1381,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۱۸۷٬۰۰۰,1383,بژ,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,دنده‌ای,نقدی
۱۹۱٬۰۰۰,2009,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۲۴,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1386,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای,نقدی
۲۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۴۰۰٬۰۰۰,1997,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی
۲۴٬۰۰۰,1399,خاکستری,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱۲ ماه,دنده‌ای,نقدی
