Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price
۹۰٬۰۰۰,1398,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۶۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۲٬۶۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,دنده‌ای,نقدی,۲۸۶٬۰۰۰٬۰۰۰ تومان
۸۷٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,نقدی
۱۹٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۶۶٬۰۰۰,1398,سفید,سالم,ضربه‌خورده,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای
۴۰۰٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی و قسطی
۴۵٬۰۰۰,2017,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱۶۵٬۰۰۰,1396,آبی,سالم,ضربه‌خورده,دوررنگ,۶ ماه,دنده‌ای,نقدی
۲۴۳٬۰۰۰,2011,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,توافقی
۱۱٬۵۰۰,1397,سفید,سالم,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۲۶۰٬۰۰۰٬۰۰۰ تومان
۳۴۰٬۰۰۰,1391,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای
۱۰۷٬۰۰۰,2014,مسی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,اتوماتیک,نقدی
۱۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۳۰۶٬۵۴۳,1384,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۱ ماه,دنده‌ای,نقدی
۷۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی
