Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۴۵۳٬۰۰۰,1388,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۸۴٬۰۰۰٬۰۰۰ تومان
۹۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۳۳۰٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۴۰٬۰۰۰٬۰۰۰ تومان
۲۰۰٬۰۰۰,2008,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی,۶۰۰٬۰۰۰٬۰۰۰ تومان
۸٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,۱٬۰۴۰٬۰۰۰٬۰۰۰ تومان
۴۲٬۰۰۰,1395,آبی,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,۲۴۳٬۰۰۰٬۰۰۰ تومان
۳۳٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۴۸۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۳۰۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۸۴۵٬۰۰۰٬۰۰۰ تومان
۱۵۹٬۰۰۰,1389,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۱۶۴٬۰۰۰٬۰۰۰ تومان
۸٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۰۴۰٬۰۰۰٬۰۰۰ تومان
۹۰٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۶۵۴٬۰۰۰٬۰۰۰ تومان
۸۹٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۶۵۰٬۰۰۰٬۰۰۰ تومان
۱۲٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۱۹۲٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۴۴٬۰۰۰,1384,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۱۳٬۶۰۰,1399,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی,۴۴۵٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,دنده‌ای,نقدی,۱۶۸٬۰۰۰٬۰۰۰ تومان
۱٬۵۰۰,1389,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۱۴۶٬۰۰۰٬۰۰۰ تومان
۲۸۵٬۰۰۰,1381,عنابی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۱۲۷٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۱۹۸٬۰۰۰٬۰۰۰ تومان
۵۴٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی,۴۹۸٬۰۰۰٬۰۰۰ تومان
۱۰۵٬۰۰۰,1395,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,اتوماتیک,نقدی,۴۱۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۹۰۰٬۰۰۰٬۰۰۰ تومان
۱۱۰٬۰۰۰,1387,قهوه‌ای,سالم,ضربه‌خورده,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی,۱۵۰٬۰۰۰٬۰۰۰ تومان
۵۷٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,اتوماتیک,"نقدی, قابل معاوضه",برای معاوضه
۶٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۶۷۷٬۹۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۹۵٬۰۰۰٬۰۰۰ تومان
۲۷۰٬۰۰۰,1386,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان
۱۴۵٬۰۰۰,1387,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان
۷۴٬۰۰۰,1396,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۲۴۳٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۱۶٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۱۴۵٬۰۰۰٬۰۰۰ تومان
۲۵۰٬۰۰۰,1388,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۹۳٬۰۰۰٬۰۰۰ تومان
۱۱۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۱۸۰٬۰۰۰,1385,نقره‌ای,سالم,سالم و پلمپ,ضربه‌خورده,دوررنگ,۱۰ ماه,دنده‌ای,نقدی
۳۵۰٬۰۰۰,1383,سفید,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,نقدی
۳۲٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۶۲۰٬۰۰۰٬۰۰۰ تومان
۵۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,قسطی,توافقی
۶٬۸۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۳۹۲٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۲۶۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,۵۱۰٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۸۰٬۰۰۰٬۰۰۰ تومان
۷٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۱۹۵٬۰۰۰٬۰۰۰ تومان
۱۲۰٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,قسطی,۱۸۰٬۰۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۲ ماه,اتوماتیک,نقدی,۵۹۰٬۰۰۰٬۰۰۰ تومان
۹٬۱۰۰,1399,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۹۲۰٬۰۰۰٬۰۰۰ تومان
۴۰۰٬۰۰۰,1383,یشمی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۴۰٬۰۰۰٬۰۰۰ تومان
۳۸٬۰۰۰,1399,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی و قسطی,۴۰۷٬۰۰۰٬۰۰۰ تومان
۱۱۷٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱۲ ماه,دنده‌ای,نقدی,۳۰۸٬۰۰۰٬۰۰۰ تومان
۴۴٬۰۰۰,2017,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان
۱۲۰٬۰۰۰,2013,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,۱٬۵۹۰٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,2012,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی,۲٬۴۳۰٬۰۰۰٬۰۰۰ تومان
۳۲٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۲۵۷٬۰۰۰٬۰۰۰ تومان
۳۱۰٬۰۰۰,1380,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۱ ماه,دنده‌ای,نقدی,۷۸٬۵۰۰٬۰۰۰ تومان
۳۸٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,اتوماتیک,نقدی,۹۸۰٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۲۵٬۰۰۰٬۰۰۰ تومان
۱۴۵٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,نقدی و قسطی,۲۰۰٬۰۰۰٬۰۰۰ تومان
۸۲٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی,۴۰۰٬۰۰۰٬۰۰۰ تومان
۰,1400,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۲٬۰۰۰٬۰۰۰ تومان
۹۸٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان
۱۷٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۳۵٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1400,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۳۸۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی,توافقی
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۰۵٬۰۰۰٬۰۰۰ تومان
۵۳٬۰۰۰,1395,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,توافقی
۱۸۸٬۰۰۰,1388,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۱ ماه,دنده‌ای,نقدی,۱۴۵٬۰۰۰٬۰۰۰ تومان
۱۲۳٬۴۴۵,1386,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,دنده‌ای,نقدی,۶۸٬۱۲۳٬۴۵۶ تومان
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۲۵۰٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی,توافقی
۲۶۰٬۰۰۰,1383,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی,۱۵۸٬۰۰۰٬۰۰۰ تومان
۲۵۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان
۵۳٬۰۰۰,2016,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,توافقی
۲۷٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۲۸۴٬۰۰۰٬۰۰۰ تومان
۶۹٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۰۴٬۰۰۰٬۰۰۰ تومان
۱,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۸۶٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,۴۳۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۲۲۰٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,نقدی,۱۵۲٬۰۰۰٬۰۰۰ تومان
۱۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۱۸۳٬۰۰۰٬۰۰۰ تومان
۳۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,توافقی
۴۴۰٬۰۰۰,1385,نقره‌ای,سالم,سالم و پلمپ,ضربه‌خورده,تصادفی,۴ ماه,دنده‌ای,نقدی
۱۷٬۵۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۷۲٬۰۰۰٬۰۰۰ تومان
۱۲۰٬۰۰۰,1386,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۳۳۵٬۰۰۰٬۰۰۰ تومان
۱۹٬۰۰۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی,۴۷۸٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,قسطی,۱۰۳٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۱٬۲۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۰٬۰۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۴۲٬۰۰۰٬۰۰۰ تومان
۴۷۰٬۰۰۰,1382,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۵۴٬۰۰۰٬۰۰۰ تومان
۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۳۸۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۱٬۲۲۰٬۰۰۰٬۰۰۰ تومان
۲۹٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی و قسطی,۳۴۰٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۱۶۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۱٬۱۶۰٬۰۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,2010,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان
۱۲۵٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,"نقدی, قابل معاوضه",برای معاوضه
۸۴٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۱۳٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی و قسطی,۱۴۵٬۰۰۰٬۰۰۰ تومان
۲۳۰٬۰۰۰,1391,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,توافقی
۳۳٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۴۶۰٬۰۰۰٬۰۰۰ تومان
۶۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۰۵۵٬۰۰۰٬۰۰۰ تومان
۰,1401,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,"نقدی و قسطی, قابل معاوضه",برای معاوضه
۳۵۰٬۰۰۰,1381,مشکی,سالم,سالم و پلمپ,دوررنگ,۱۲ ماه,دنده‌ای,نقدی,۸۵٬۰۰۰٬۰۰۰ تومان
۳۹٬۰۰۰,1397,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۹۲۵٬۰۰۰٬۰۰۰ تومان
۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۱۴۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,دنده‌ای,نقدی,توافقی
۰,1400,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۲۸۰٬۰۰۰,1385,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,دنده‌ای,نقدی,توافقی
۱۰۶٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,۲۷۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۷۱٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,2013,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۱٬۲۳۰٬۰۰۰٬۰۰۰ تومان
۲۵۰٬۰۰۰,1386,نقره‌ای,سالم,سالم و پلمپ,دوررنگ,۱۲ ماه,دنده‌ای,نقدی,۶۸٬۰۰۰٬۰۰۰ تومان
۳۰٬۰۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۳۰۸٬۰۰۰٬۰۰۰ تومان
۱۷۰٬۰۰۰,1386,خاکستری,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی,۶۳۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۶۳٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی,۶۰۰٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۱۵۵٬۰۰۰,2011,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,2017,سفید,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۱۲ ماه,اتوماتیک,نقدی
۱۱۰٬۰۰۰,2015,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۹,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۷۹۰٬۰۰۰٬۰۰۰ تومان
۳۱۶٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی,۲۰۰٬۰۰۰٬۰۰۰ تومان
۷۰٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,اتوماتیک,نقدی,۷۰۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۸۱٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,۷۶۰٬۰۰۰٬۰۰۰ تومان
۱۲,1401,آلبالویی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۶۴۱٬۰۰۰٬۰۰۰ تومان
۳,1401,اطلسی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی,۸۹۷٬۰۰۰٬۰۰۰ تومان
۷۰٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۱٬۶۲۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,2016,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,اتوماتیک,نقدی,توافقی
۱۸۰٬۰۰۰,1391,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای,نقدی,توافقی
۲۹٬۰۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۲,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۷۵۴٬۰۰۰٬۰۰۰ تومان
۴,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی و قسطی,۹۳۳٬۰۰۰٬۰۰۰ تومان
۱,1401,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۶۶۱٬۰۰۰٬۰۰۰ تومان
۱۳۵٬۰۰۰,1394,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,۲۲۴٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۸۷٬۰۰۰٬۰۰۰ تومان
۷۹٬۰۰۰,2014,نقرآبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۸۴٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۹۱٬۰۰۰٬۰۰۰ تومان
۱۲۵٬۰۰۰,1393,قهوه‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۲۳۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۱,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۳۸۵٬۰۰۰٬۰۰۰ تومان
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۸۸٬۰۰۰٬۰۰۰ تومان
۴۶٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
