Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYipkBQj,"برند و تیپ,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت فروش نقدی",پراید صندوق‌دار بنزینی,"['۳۰۰٬۰۰۰', 1385, 'مشکی']"
https://divar.ir/v/-/wYipkB_A,"برند و تیپ,وضعیت موتور,وضعیت بدنه,قیمت فروش نقدی",تیبا صندوق‌دار EX,"['۲۸۰٬۰۰۰', 1393, 'سفید']"
https://divar.ir/v/-/wYiVkqbu,"برند و تیپ,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,قیمت فروش نقدی",پژو پارس موتور جدید XU7P,"['۴۰٬۰۰۰', 1401, 'سفید']"
https://divar.ir/v/-/wYilT0IC,"برند و تیپ,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت فروش نقدی",پراید هاچبک,"['۳۰۰٬۰۰۰', 1385, 'مشکی']"
https://divar.ir/v/-/wYVp5RKa,"برند و تیپ,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت فروش نقدی",پژو 207i اتوماتیک MC,"['۵٬۰۰۰', 1401, 'سفید']"
https://divar.ir/v/-/wYihE1qM,"برند و تیپ,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت فروش نقدی",پژو پارس LX TU5,"['۱۴۰٬۰۰۰', 1397, 'مشکی']"
https://divar.ir/v/-/wYiFUhWg,"برند و تیپ,وضعیت موتور,شاسی عقب,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت فروش نقدی",وانت مزدا 2000 دو کابین بنزینی,"['۸۸٬۰۰۰', 1396, 'سفید']"
