Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYilT0IC,"[['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی، در ۲ ناحیه', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت فروش نقدی', '۷۶٬۰۰۰٬۰۰۰ تومان']]",پراید هاچبک,"[['۳۰۰٬۰۰۰'], [1385], ['مشکی']]"
https://divar.ir/v/-/wYipkBQj,"[['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱۰ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت فروش نقدی', '۸۵٬۰۰۰٬۰۰۰ تومان']]",پراید صندوق‌دار بنزینی,"[['۳۰۰٬۰۰۰'], [1385], ['مشکی']]"
https://divar.ir/v/-/wYihE1qM,"[['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۸ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت فروش نقدی', '۲۵۹٬۰۰۰٬۰۰۰ تومان']]",پژو پارس LX TU5,"[['۱۴۰٬۰۰۰'], [1397], ['مشکی']]"
https://divar.ir/v/-/wYiFUhWg,"[['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت فروش نقدی', '۲۳۸٬۰۰۰٬۰۰۰ تومان']]",وانت مزدا 2000 دو کابین بنزینی,"[['۸۸٬۰۰۰'], [1396], ['سفید']]"
https://divar.ir/v/-/wYil0OQI,"[['برند و تیپ', 'وضعیت موتور', 'تعویض شده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی، در ۱ ناحیه', 'مهلت بیمهٔ شخص ثالث', '۴ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت فروش نقدی', '۱۱۰٬۰۰۰٬۰۰۰ تومان']]",پراید 131 SE,"[['۲۰۰٬۰۰۰'], [1393], ['سفید']]"
